Tanggal,Waktu,Nama Pengguna,Event
08-June-2021,10:59:49,Admin Pandan Arum,File System LOG dibuat
08-June-2021,10:59:50,"mjsodiq, super",super mjsodiq berhasil login
08-June-2021,10:59:52,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
