Tanggal,Waktu,Nama Pengguna,Event
18-June-2021,00:32:52,Admin Pandan Arum,File System LOG dibuat
18-June-2021,00:32:53,"mjsodiq, super",super mjsodiq berhasil login
18-June-2021,00:33:01,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
